track_uri,track_name,artist_name,artist_uri,album,track_pop,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
22RZSNHtfaNLTz1rOeAe5B,Over,R2Bees,0LFsP7WPfu5inz9a1amcE4,Site 15,44,0.763,0.713,7,-6.077,1,0.0984,0.0632,0.0,0.0459,0.908,107.638,audio_features,22RZSNHtfaNLTz1rOeAe5B,spotify:track:22RZSNHtfaNLTz1rOeAe5B,https://api.spotify.com/v1/tracks/22RZSNHtfaNLTz1rOeAe5B,https://api.spotify.com/v1/audio-analysis/22RZSNHtfaNLTz1rOeAe5B,236460,4,afrobeats
2MUkw4KIzDBVE0toHWHgFY,Wash,Tekno,6IhG3Yxm3UW98jhyBvrIut,Wash,44,0.886,0.803,0,-5.004,1,0.162,0.0763,0.0,0.187,0.967,120.989,audio_features,2MUkw4KIzDBVE0toHWHgFY,spotify:track:2MUkw4KIzDBVE0toHWHgFY,https://api.spotify.com/v1/tracks/2MUkw4KIzDBVE0toHWHgFY,https://api.spotify.com/v1/audio-analysis/2MUkw4KIzDBVE0toHWHgFY,194080,4,afrobeats
0g6C2OnuFvSCPH5uY8Zokl,Only One,Tekno,6IhG3Yxm3UW98jhyBvrIut,Only One,22,0.899,0.442,0,-8.835,0,0.155,0.421,0.0,0.184,0.794,99.982,audio_features,0g6C2OnuFvSCPH5uY8Zokl,spotify:track:0g6C2OnuFvSCPH5uY8Zokl,https://api.spotify.com/v1/tracks/0g6C2OnuFvSCPH5uY8Zokl,https://api.spotify.com/v1/audio-analysis/0g6C2OnuFvSCPH5uY8Zokl,195657,4,afrobeats
2ntGxH1HtbPkpNIDgef1Jp,Nuh Let Go,Maleek Berry,520qA5VGL9iI0SbmEnTVNg,Last Daze Of Summer,47,0.512,0.703,7,-5.2,1,0.0785,0.53,1.27e-06,0.126,0.699,128.952,audio_features,2ntGxH1HtbPkpNIDgef1Jp,spotify:track:2ntGxH1HtbPkpNIDgef1Jp,https://api.spotify.com/v1/tracks/2ntGxH1HtbPkpNIDgef1Jp,https://api.spotify.com/v1/audio-analysis/2ntGxH1HtbPkpNIDgef1Jp,204000,5,afrobeats
4LbEUmACVAFj8e0WrMUdlN,Rock Your Body,Burna Boy,3wcj11K77LjEY1PkEazffa,Outside,55,0.801,0.623,0,-7.861,1,0.0982,0.107,0.00396,0.0853,0.801,104.985,audio_features,4LbEUmACVAFj8e0WrMUdlN,spotify:track:4LbEUmACVAFj8e0WrMUdlN,https://api.spotify.com/v1/tracks/4LbEUmACVAFj8e0WrMUdlN,https://api.spotify.com/v1/audio-analysis/4LbEUmACVAFj8e0WrMUdlN,221228,4,afrobeats
5SOJW3a8uYkvv0FG1azoZV,Chosen (feat. Ty Dolla $ign),Blxst,4qXC0i02bSFstECuXP2ZpL,Chosen (feat. Ty Dolla $ign) [Clean],54,0.711,0.737,2,-5.39,1,0.26,0.323,0.0,0.0809,0.551,94.742,audio_features,5SOJW3a8uYkvv0FG1azoZV,spotify:track:5SOJW3a8uYkvv0FG1azoZV,https://api.spotify.com/v1/tracks/5SOJW3a8uYkvv0FG1azoZV,https://api.spotify.com/v1/audio-analysis/5SOJW3a8uYkvv0FG1azoZV,161684,4,afrobeats
5FG7Tl93LdH117jEKYl3Cm,Essence (feat. Tems),WizKid,3tVQdUvClmAT7URs9V3rsp,Made In Lagos,80,0.849,0.707,0,-6.002,1,0.113,0.0266,8.58e-06,0.618,0.602,104.027,audio_features,5FG7Tl93LdH117jEKYl3Cm,spotify:track:5FG7Tl93LdH117jEKYl3Cm,https://api.spotify.com/v1/tracks/5FG7Tl93LdH117jEKYl3Cm,https://api.spotify.com/v1/audio-analysis/5FG7Tl93LdH117jEKYl3Cm,248040,4,afrobeats
1tj7Pn7RFy82MTwM3TvLkw,FOR YOU,Teni,3ukrG1BmfEiuo0KDj8YTTS,FOR YOU,55,0.724,0.62,7,-5.576,1,0.101,0.29,3.57e-06,0.105,0.478,107.159,audio_features,1tj7Pn7RFy82MTwM3TvLkw,spotify:track:1tj7Pn7RFy82MTwM3TvLkw,https://api.spotify.com/v1/tracks/1tj7Pn7RFy82MTwM3TvLkw,https://api.spotify.com/v1/audio-analysis/1tj7Pn7RFy82MTwM3TvLkw,188411,4,afrobeats
2Xr1dTzJee307rmrkt8c0g,love nwantiti (ah ah ah),CKay,048LktY5zMnakWq7PTtFrz,CKay The First,93,0.727,0.739,8,-3.805,1,0.0411,0.365,0.00137,0.161,0.533,93.005,audio_features,2Xr1dTzJee307rmrkt8c0g,spotify:track:2Xr1dTzJee307rmrkt8c0g,https://api.spotify.com/v1/tracks/2Xr1dTzJee307rmrkt8c0g,https://api.spotify.com/v1/audio-analysis/2Xr1dTzJee307rmrkt8c0g,145800,4,afrobeats
7n194jHXt3EXVe2Kd42deD,REQUIRE (with Olamide),DJ Tunez,64oW4P0vsDhlorOxZKQi6a,REQUIRE (with Olamide),52,0.85,0.799,7,-6.875,1,0.0507,0.0937,0.411,0.0844,0.602,112.005,audio_features,7n194jHXt3EXVe2Kd42deD,spotify:track:7n194jHXt3EXVe2Kd42deD,https://api.spotify.com/v1/tracks/7n194jHXt3EXVe2Kd42deD,https://api.spotify.com/v1/audio-analysis/7n194jHXt3EXVe2Kd42deD,223968,4,afrobeats
